Order ID,Purchase Date,Product Name,Category,Product Price,Unit Sold,Total Sale,Payment Method
ORD29478,2021-04-01,LG Gram 16,Laptop,65300.44,1,65300.44,Cash
ORD06471,2021-04-01,OnePlus 11,Mobile,88163.02,4,352652.08,EMI
ORD11801,2021-04-01,Acer Aspire 5,Laptop,138690.85,1,693454.25,Cash
ORD23185,2021-04-01,Motorola Edge 30,Mobile,26255.65,3,78766.95,Cash
ORD61925,2021-04-02,iPhone 14,Mobile,38654.52,3,115963.56,UPI
ORD16559,2021-04-02,Samsung Galaxy S22,Mobile,23900.25,2,47800.5,Net Banking
ORD41442,2021-04-02,Samsung 1TB SSD,Accessories,7326.68,1,7326.68,Net Banking
ORD33421,2021-04-02,MacBook Air M2,Laptop,166609.87,3,499829.61,EMI
ORD35269,2021-04-02,Xiaomi 12 Pro,Mobile,44559.94,1,44559.94,EMI
ORD48725,2021-04-02,HP Wired Keyboard,Accessories,6967.21,2,13934.42,EMI
ORD57742,2021-04-02,HP Pavilion x360,Laptop,187916.91,3,563750.73,Net Banking
ORD39237,2021-04-03,Sony Headphones,Accessories,7911.63,2,15823.26,Credit Card
ORD52185,2021-04-03,Dell Inspiron 15,Laptop,134426.61,2,268853.22,Net Banking
ORD92864,2021-04-03,Xiaomi 12 Pro,Mobile,62551.59,2,125103.18,Net Banking
ORD17154,2021-04-03,iPhone 14,Mobile,67451.27,4,269805.08,Net Banking
ORD77687,2021-04-03,Sony Headphones,Accessories,1224.92,4,4899.68,Net Banking
ORD98515,2021-04-03,Zebronics Webcam,Accessories,7899.11,4,31596.44,Net Banking
ORD91627,2021-04-03,Xiaomi 12 Pro,Mobile,9603.06,1,9603.06,Credit Card
ORD90128,2021-04-03,OnePlus 11,Mobile,24922.8,4,99691.2,Cash
ORD58079,2021-04-03,OnePlus 11,Mobile,58166.59,4,232666.36,Cash
ORD17411,2021-04-04,Realme GT Neo 3,Mobile,82606.4,1,413032,EMI
ORD04229,2021-04-04,OnePlus 11,Mobile,19266.79,1,19266.79,Credit Card
ORD90220,2021-04-04,iPhone 14,Mobile,23741.75,1,118708.75,UPI
ORD46924,2021-04-04,OnePlus 11,Mobile,73972.92,4,295891.68,Cash
ORD91138,2021-04-04,Asus ROG Phone 6,Mobile,42372.58,1,211862.9,Net Banking
ORD35294,2021-04-04,Sony Headphones,Accessories,1221.93,2,2443.86,Net Banking
ORD15418,2021-04-04,Samsung Galaxy S22,Mobile,49247.06,4,196988.24,Net Banking
ORD79358,2021-04-04,MacBook Air M2,Laptop,48727.6,1,243638,Net Banking
ORD14603,2021-04-04,Realme GT Neo 3,Mobile,19074.03,1,19074.03,Credit Card
ORD27329,2021-04-05,HP Pavilion x360,Laptop,129469.13,1,647345.65,Net Banking
ORD51120,2021-04-05,Asus ROG Phone 6,Mobile,52470.25,4,209881,Net Banking
ORD66190,2021-04-05,Xiaomi 12 Pro,Mobile,17045.23,1,17045.23,Cash
ORD84715,2021-04-05,Realme GT Neo 3,Mobile,31570.46,2,63140.92,EMI
ORD41143,2021-04-05,Asus ROG Phone 6,Mobile,43558.15,4,174232.6,Net Banking
ORD49114,2021-04-05,Realme GT Neo 3,Mobile,66803.57,4,267214.28,Credit Card
ORD77179,2021-04-06,Acer Aspire 5,Laptop,162731.76,1,162731.76,UPI
ORD56327,2021-04-06,Nokia X20,Mobile,22028.64,1,22028.64,Net Banking
ORD95871,2021-04-06,HP Pavilion x360,Laptop,92698.77,1,92698.77,Net Banking
ORD75530,2021-04-06,Sandisk 64GB Pendrive,Accessories,3847.63,2,7695.26,EMI
ORD66051,2021-04-06,TP-Link Router,Accessories,2661.78,3,7985.34,Net Banking
ORD45085,2021-04-06,Sandisk 64GB Pendrive,Accessories,7810.17,1,7810.17,EMI
ORD35662,2021-04-06,Mi Power Bank 10000mAh,Accessories,6102.12,3,18306.36,Net Banking
ORD95237,2021-04-06,LG Gram 16,Laptop,39677.1,4,158708.4,EMI
ORD04044,2021-04-06,OnePlus 11,Mobile,8459.41,1,42297.05,UPI
ORD08014,2021-04-07,iPhone 14,Mobile,18076.53,4,72306.12,Cash
ORD75634,2021-04-07,Asus ROG Phone 6,Mobile,34612.34,4,138449.36,Cash
ORD59559,2021-04-07,OnePlus 11,Mobile,69156.98,1,345784.9,Cash
ORD75560,2021-04-08,Google Pixel 7,Mobile,19230.61,1,96153.05,Net Banking
ORD70859,2021-04-08,Zebronics Webcam,Accessories,724.3,1,724.3,Cash
ORD53312,2021-04-08,Mi Power Bank 10000mAh,Accessories,7615.65,1,38078.25,Net Banking
ORD94080,2021-04-08,Realme GT Neo 3,Mobile,26489.73,2,52979.46,Net Banking
ORD76845,2021-04-08,Asus ROG Phone 6,Mobile,42060.55,2,84121.1,Net Banking
ORD76056,2021-04-08,Nokia X20,Mobile,88309.51,4,353238.04,Net Banking
ORD52407,2021-04-08,LG Gram 16,Laptop,51178.3,4,204713.2,Net Banking
ORD65216,2021-04-08,Vivo X80,Mobile,23530.94,3,70592.82,Net Banking
ORD51650,2021-04-08,iPhone 14,Mobile,41184.52,4,164738.08,Cash
ORD04505,2021-04-08,Google Pixel 7,Mobile,51053.54,3,153160.62,EMI
ORD87394,2021-04-08,MSI Modern 14,Laptop,175352.45,2,350704.9,Net Banking
ORD00204,2021-04-09,Mi Power Bank 10000mAh,Accessories,7755.84,4,31023.36,UPI
ORD66609,2021-04-09,Samsung 1TB SSD,Accessories,4257.53,4,17030.12,UPI
ORD03568,2021-04-09,Vivo X80,Mobile,32022.14,2,64044.28,Cash
ORD53941,2021-04-09,Mi Power Bank 10000mAh,Accessories,1782,4,7128,Credit Card
ORD57001,2021-04-09,Microsoft Surface Laptop 4,Laptop,164658.78,1,164658.78,Cash
ORD94667,2021-04-10,Samsung Galaxy S22,Mobile,18310.29,3,54930.87,Net Banking
ORD77741,2021-04-10,Nokia X20,Mobile,48068.85,3,144206.55,Net Banking
ORD90466,2021-04-10,iPhone 14,Mobile,33955.79,3,101867.37,Credit Card
ORD98085,2021-04-10,Nokia X20,Mobile,24994.68,1,124973.4,Cash
ORD29932,2021-04-10,Xiaomi 12 Pro,Mobile,30819.73,1,154098.65,UPI
ORD68199,2021-04-10,TP-Link Router,Accessories,7816.83,3,23450.49,Net Banking
ORD61368,2021-04-10,Vivo X80,Mobile,18163.01,1,18163.01,Credit Card
ORD82034,2021-04-10,OnePlus 11,Mobile,36513.69,2,73027.38,UPI
ORD57197,2021-04-10,Vivo X80,Mobile,74144.38,3,222433.14,Cash
ORD40459,2021-04-10,Nokia X20,Mobile,25543.86,2,51087.72,EMI
ORD89828,2021-04-10,Acer Aspire 5,Laptop,117115.47,4,468461.88,UPI
ORD14612,2021-04-11,Nokia X20,Mobile,47329.19,3,141987.57,EMI
